FIRSTNAME,LASTNAME,STATE,PA,CITY,ZIP
JASMINE,ROYAL,Florida,FL,Miami,33152
TONY,BAIRD,California,CA,Fremont,94537
ANGELIA,ROSE,Arizona,AZ,Mesa,85201
HERMAN,MATOS,Nevada,NV,NorthLasVegas,89030
JOEL,FINLEY,California,CA,Riverside,92507
CLETUS,AVALOS,California,CA,Inglewood,90301
THELMA,MATTINGLY,California,CA,Corona,91718
ANNIE,OTT,Washington,WA,Seattle,98108
DONTE,BUSCH,Ohio,OH,Toledo,43601
MAE,CABRERA,Kansas,KS,Wichita,67276
TISHA,CARDWELL,Massachusetts,MA,Boston,2205
MILISSA,LE,Texas,TX,CorpusChristi,78469
MIRIAM,MEAD,Nevada,NV,LasVegas,89199
DEWITT,TISDALE,Texas,TX,Waco,76702
ROBBIE,DENT,California,CA,RanchoCucamonga,91729
TANIA,DEJESUS,California,CA,SantaRosa,95402
MYRTLE,FARMER,NewJersey,NJ,Elizabeth,7208
DARIA,GOODRICH,South Carolina,SC,Columbia,29201
EUGENIO,STANLEY,Michigan,MI,GrandRapids,49501
MOISES,RUSSO,California,CA,Fullerton,92834
MELANIE,ADAIR,NewJersey,NJ,Paterson,7510
ESSIE,SPAIN,Florida,FL,CoralSprings,33075
LOLITA,MEADE,Virginia,VA,Norfolk,23707
VALORIE,MACE,California,CA,Pasadena,91103
ERWIN,NAPIER,Indiana,IN,SouthBend,46624
PATRICIA,LARA,Nebraska,NE,Lincoln,68501
YOLONDA,LAWRENCE,California,CA,Fresno,93706
LEE,PRATER,Oklahoma,OR,Portland,97208
CASEY,CISNEROS,Pennsylvania,PA,Erie,16515
TEDDY,BRAVO,California,CA,Torrance,90503
BARRY,HERRING,Connecticut,CT,Hartford,6101
ROXANNA,PARKS,Connecticut,CT,Waterbury,6702
ALICIA,NIEVES,California,CA,Glendale,91205
HERSHEL,BURGE,Kansas,KS,OverlandPark,66204
MITCH,BIGGS,Texas,TX,Dallas,75260
PAULINE,ALVAREZ,Colorado,CO,Denver,80202
MAXINE,WHITTEN,Kentucky,KY,Lexington-Fayette,40511
SAMMIE,RODGERS,California,CA,ElMonte,91734
SHIRLEY,GOSS,North Carolina,NC,Raleigh,27613
